iter	Accuracy	MultiClass
300	0.6926141574	0.5380122927
301	0.6923162262	0.5379836021
302	0.6925096409	0.5379741441
303	0.6927038515	0.5379648935
304	0.6933002076	0.5376069561
305	0.6932429763	0.5375675159
306	0.6937558362	0.5375220516
307	0.6937781922	0.5372533052
308	0.6938730842	0.5372092591
309	0.6936323679	0.5371736807
310	0.6935300211	0.5371293063
311	0.6934114292	0.5370662204
312	0.6937897355	0.5370334398
313	0.6940118544	0.5370186546
314	0.6938118435	0.5370029672
315	0.6936804872	0.5369165543
316	0.6937535847	0.5368705607
317	0.6938196036	0.5368272995
318	0.6941039581	0.5364848515
319	0.694292344	0.5364647731
320	0.6945687532	0.5364110314
321	0.6943870589	0.5364079341
322	0.6945527344	0.5363940816
323	0.6943888824	0.5363851834
324	0.694773338	0.5359301873
325	0.6947004259	0.5359092855
326	0.6946740195	0.5358915574
327	0.6949212992	0.5358615147
328	0.6952475071	0.5352268528
329	0.6952082954	0.5352188323
330	0.6946082708	0.5352069304
331	0.6946998212	0.5351083084
332	0.6945733657	0.5350663375
333	0.6950767783	0.5350303678
334	0.6952329901	0.5350018806
335	0.6953406957	0.5349797631
336	0.6954617679	0.5348808273
337	0.6953279776	0.5348667422
338	0.6952411753	0.5348626754
339	0.6951725289	0.5348581801
340	0.6952420993	0.5348452005
341	0.6951600208	0.5347471425
342	0.6956773316	0.5345500612
343	0.6956820909	0.5341625702
344	0.6956495952	0.5341548638
345	0.6956238239	0.5341331597
346	0.6957536293	0.5341262178
347	0.696305254	0.5337965423
348	0.6963864168	0.5337558992
349	0.6962862069	0.5337173575
350	0.6965393197	0.5336885163
351	0.6963583886	0.5336812079
352	0.6965173725	0.5336489593
353	0.6966638073	0.533637022
354	0.6969782509	0.5331433968
355	0.697851125	0.5331239884
356	0.6976351279	0.5330983263
357	0.6972456463	0.5330065795
358	0.6972425198	0.5327470257
359	0.6971096535	0.5327367256
360	0.6972852341	0.5327217464
361	0.6976997268	0.5323495924
362	0.6976980507	0.5320174028
363	0.6980229662	0.5320071355
364	0.6981047313	0.5319700923
365	0.6982202051	0.5319523236
366	0.6982784721	0.5317668495
367	0.6980846866	0.531740813
368	0.6981031641	0.5317061402
369	0.6983987975	0.5316838715
370	0.6985047234	0.5312187014
371	0.6987773359	0.5307837253
372	0.698848858	0.5307543412
373	0.6988584496	0.5307311339
374	0.6983334414	0.5306517246
375	0.698283842	0.5306470033
376	0.7000115599	0.5299960246
377	0.7000579375	0.5299558188
378	0.6999796748	0.529922033
379	0.6999062885	0.5298921946
380	0.7008214053	0.5294310242
381	0.700869759	0.5293990674
382	0.7010097912	0.5293839362
383	0.7014288356	0.5293680696
384	0.7013246162	0.5293292445
385	0.7016042636	0.5292191477
386	0.7015110587	0.529196647
387	0.7015549859	0.5291760994
388	0.7016783886	0.5291178001
389	0.7018838536	0.5290395039
390	0.7021354073	0.5289930629
391	0.7025897112	0.5289131763
392	0.7025485233	0.5288949249
393	0.7021500606	0.5288556231
394	0.702336792	0.5288346515
395	0.7022816813	0.5285742429
396	0.7019445383	0.5285659943
397	0.7021092897	0.528541286
398	0.7019544516	0.5284489053
399	0.7021873998	0.5284240947
400	0.7018769522	0.5283943414
401	0.7023965526	0.5283623715
402	0.7021161503	0.5283223539
403	0.7022732944	0.5282524769
404	0.7022961329	0.5278575694
405	0.7023380839	0.5278278017
406	0.7021643186	0.5278019487
407	0.7022311281	0.5273816669
408	0.7025932822	0.5271118034
409	0.7028081482	0.5267925025
410	0.7029312947	0.5267511338
411	0.7029862119	0.5267300131
412	0.7029303462	0.5267064666
413	0.7030693263	0.5266882804
414	0.7032420067	0.5266675937
415	0.7030214223	0.5266348229
416	0.7031237475	0.5261995185
417	0.7031492299	0.5261697974
418	0.7031311069	0.5261198962
419	0.702960209	0.5260438203
420	0.7033488619	0.5259588503
421	0.7035987611	0.5257946212
422	0.7037816684	0.5257734231
423	0.7037217224	0.5257237964
